Name;Version;Vendor
Paquete de controladores de Windows - FTDI CDM Driver Package (07/12/2010 2.08.02);07/12/2010 2.08.02;FTDI
Paquete de controladores de Windows - FTDI CDM Driver Package (07/12/2010 2.08.02);07/12/2010 2.08.02;FTDI
Paquete de controladores de Windows - Dynastream Innovations, Inc. ANT LibUSB Drivers (04/11/2012 1.2.40.201);04/11/2012 1.2.40.201;Dynastream Innovations, Inc.
Git version 2.8.3;2.8.3;The Git Development Community
Juniper Networks, Inc. Setup Client 64-bit Activex Control;2.1.1.1;Juniper Networks, Inc.
Microsoft Visual Studio 2010 Tools for Office Runtime (x64);10.0.40820;Microsoft Corporation
Paquete de idioma de Microsoft Visual Studio 2010 Tools para Office Runtime (x64) - ESN;10.0.40820;Microsoft Corporation
Transmission-Qt;2.84.6;Transmission
PDFCreator;2.1.1;pdfforge
MongoChef;2.0.10;3T Software Labs GmbH
Microsoft Visual Studio 2010 Tools for Office Runtime (x64) Language Pack - ESN;10.0.40820;Microsoft Corporation
Data Synchronisation Studio 3.0;3.0.1018;Simego
MySQL Connector/ODBC 5.3;5.3.6;Oracle Corporation
Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219;10.0.40219;Microsoft Corporation
paint.net;4.0.16;dotPDN LLC
7-Zip 9.20 (x64 edition);9.20.00.0;Igor Pavlov
Java 7 Update 79 (64-bit);7.0.790;Oracle
Java 8 Update 131 (64-bit);8.0.1310.11;Oracle Corporation
MIT Kerberos for Windows (64-bit) 4.0.1;4.0.1;Massachusetts Institute of Technology
Control web de McAfee Endpoint Security;10.1.2;McAfee, Inc.
Haroopad;0.13.1;Haroo Studio
Maxx Audio Installer (x64);1.6.4711.73;Waves Audio Ltd.
Microsoft Application Virtualization Desktop Client;4.6.1.20870;Microsoft Corporation
Microsoft Visual C++ 2008 Redistributable - x64 9.0.21022;9.0.21022;Microsoft Corporation
McAfee Agent;5.0.4.449;McAfee, Inc.
PDF Architect 5 Edit Module;5.0.22.32126;pdfforge GmbH
PDF Architect 5 Convert Module;5.0.22.32126;pdfforge GmbH
Cisco Systems VPN Client 5.0.07.0290;5.0.7;Cisco Systems, Inc.
PDF Architect 5 Insert Module;5.0.22.32126;pdfforge GmbH
Configuration Manager Client;5.00.8458.1000;Microsoft Corporation
Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.4148;9.0.30729.4148;Microsoft Corporation
HP Unified IO;2.0.0.434;HP
Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161;9.0.30729.6161;Microsoft Corporation
Java SE Development Kit 7 Update 79 (64-bit);1.7.0.790;Oracle
Java SE Development Kit 8 Update 111 (64-bit);8.0.1110.14;Oracle Corporation
HP LaserJet Pro MFP M127-M128 Fax Driver;32.0.44.0;Hewlett-Packard Co.
Microsoft Policy Platform;68.1.1010.0;Microsoft Corporation
McAfee Endpoint Security Firewall;10.1.2;McAfee, Inc.
Bonjour;3.0.0.10;Apple Inc.
PDF Architect 5 Forms Module;5.0.22.32126;pdfforge GmbH
PDF Architect 5 Create Module;5.0.22.32126;pdfforge GmbH
Microsoft Lync 2010;4.0.7577.4446;Microsoft Corporation
Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.17;9.0.30729;Microsoft Corporation
PDF Architect 5 OCR Module;5.0.22.32126;pdfforge GmbH
