Name;Version;Vendor
Adobe Acrobat 9 Pro - Italiano, Español, Nederlands, Português;9.5.5;Adobe Systems
Adobe Flash Player 25 ActiveX;25.0.0.148;Adobe Systems Incorporated
Adobe Flash Player 25 NPAPI;25.0.0.148;Adobe Systems Incorporated
Adobe Reader XI (11.0.20) - Español;11.0.20;Adobe Systems Incorporated
driver for SCT016 and SIM Editor Program;;
Google Chrome;57.0.2987.133;Google Inc.
Intel(R) Management Engine Components;7.0.0.1144;Intel Corporation
Intel(R) Processor Graphics;8.15.10.2266;Intel Corporation
Intel(R) Rapid Storage Technology;10.1.0.1008;Intel Corporation
Java 8 Update 31;8.0.310;Oracle Corporation
JavaFX 2.1.1;2.1.1;Oracle Corporation
Juniper Networks Network Connect 7.4.0;7.4.0.33857;Juniper Networks
Juniper Networks Setup Client Activex Control;1.3.1.6;Juniper Networks
Juniper Networks, Inc. Setup Client;7.4.13.52059;Juniper Networks, Inc.
Juniper Networks, Inc. Setup Client 64-bit Activex Control;2.1.1.1;Juniper Networks, Inc.
Malwarebytes Anti-Malware versión 2.2.1.1043;2.2.1.1043;Malwarebytes
McAfee Agent;5.0.2.132;McAfee, Inc.
McAfee VirusScan Enterprise;8.8.06000;McAfee, Inc.
Microsoft .NET Framework 1.1;1.1.4322;Microsoft
Microsoft .NET Framework 4.5.2 (español);4.5.51209;Microsoft Corporation
Microsoft .NET Framework 4.6.1;4.6.01055;Microsoft Corporation
Microsoft Dynamics NAV 2009 Classic;6.0.32012.0;Microsoft Corporation
Microsoft Office Professional Plus 2010;14.0.6029.1000;Microsoft Corporation
Microsoft Visual C++ 2005 Redistributable;8.0.61001;Microsoft Corporation
Microsoft Visual C++ 2005 Redistributable (x64);8.0.61000;Microsoft Corporation
Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148;9.0.30729.4148;Microsoft Corporation
MSXML 4.0 SP2 (KB954430);4.20.9870.0;Microsoft Corporation
MSXML 4.0 SP2 (KB973688);4.20.9876.0;Microsoft Corporation
Navision Hierarchy;1.0.0;IRIS
Realtek Ethernet Controller Driver;7.43.321.2011;Realtek
Realtek High Definition Audio Driver;6.0.1.6363;Realtek Semiconductor Corp.
Renesas Electronics USB 3.0 Host Controller Driver;2.0.30.0;Renesas Electronics Corporation
Safelayer formSign;;
SafeSign 64-bits;3.0.44;A.E.T. Europe B.V.
SignaCAT;V.3.3 Release Web;
Software Intel(R) PROSet/Wireless WiFi;14.01.1000;Intel Corporation
Synaptics Pointing Device Driver;15.3.6.0;Synaptics Incorporated
Visual Studio 2012 x64 Redistributables;14.0.0.1;AVG Technologies
Visual Studio 2012 x86 Redistributables;14.0.0.1;AVG Technologies CZ, s.r.o.
WinRAR 5.10 (64-bit);5.10.0;win.rar GmbH
